Date,Price,Return,EWMA_sigma,GARCH_sigma,pos_ewma_raw,pos_garch_raw,pos_ewma,pos_garch,r_simple,pos_ewma_shift,pos_garch_shift,strat_ewma_gross,strat_garch_gross,turn_ewma,turn_garch,cost_ewma,cost_garch,strat_ewma,strat_garch,cum_ewma,cum_garch,cum_bench
2017-12-11,2659.99,0.0031968457929972233,0.004037053796926568,0.005638530142299598,1.5603973096129895,1.1172074502590124,1.5603973096129895,1.1172074502590124,0.0032019611540636816,1.6045390513591824,1.1430018032561498,0.005137671712630292,0.0036598473730509304,0.022252401331178007,0.0332698521128012,1.3351440798706802e-05,1.996191126768072e-05,0.005124320271831586,0.0036398854617832495,1.769492445857805,1.6611299498555223,2.347761233550172
2017-12-12,2664.11,0.0015476797289272538,0.003991631814079889,0.005498334698836959,1.5781535414330783,1.145693783395836,1.5781535414330783,1.145693783395836,0.0015488780033008354,1.5603973096129895,1.1172074502590124,0.0024168650692693626,0.0017304180448299963,0.0441417417461929,0.025794352997137393,2.6485045047715735e-05,1.5476611798282434e-05,0.002390380024221647,0.001714941433031714,1.7737222052533943,1.6639786904321796,2.35139762928182
2017-12-13,2662.85,-0.0004730653218714308,0.0038885544639909782,0.005302286722520013,1.6199870522121445,1.18805493047596,1.6199870522121445,1.18805493047596,-0.0004729534441145766,1.5781535414330783,1.145693783395836,-0.0007463931527623906,-0.0005418598207577204,0.017756231820088786,0.028486333136823694,1.065373909205327e-05,1.7091799882094214e-05,-0.0007570468918544439,-0.0005589516206398146,1.772379414370894,1.6630486068464525,2.3502855276745684
2017-12-14,2652.01,-0.004079134739528824,0.0037718737940424453,0.005155840772246473,1.6701003870905846,1.2218003157499333,1.6701003870905846,1.2218003157499333,-0.004070826370242253,1.6199870522121445,1.18805493047596,-0.006594686011596212,-0.0048363653402778645,0.04183351077906616,0.04236114708012395,2.5100106467439696e-05,2.541668824807437e-05,-0.006619786118063652,-0.004861782028525939,1.7606466417276996,1.6549632270171213,2.340717923370912
2017-12-15,2675.81,0.008934295194916394,0.00379101179324029,0.005386057776401153,1.6616692922769385,1.169576737755726,1.6616692922769385,1.169576737755726,0.008974325134520456,1.6701003870905846,1.2218003157499333,0.014988023881039376,0.010964833282999655,0.05011333487844016,0.033745385273973305,3.0068000927064094e-05,2.0247231164383982e-05,0.014957955880112313,0.010944586051835271,1.7869823165151304,1.6730761144678332,2.361724287063442
2017-12-18,2690.16,0.0053485331483242,0.004277705229359792,0.006165857275018259,1.4726138304835696,1.0216596983212631,1.4726138304835696,1.0216596983212631,0.005362862086620401,1.6616692922769385,1.169576737755726,0.008911303248053348,0.006272278744303355,0.008431094813646123,0.05222357799420729,5.0586568881876735e-06,3.1334146796524374e-05,0.00890624459116516,0.0062409445975068305,1.8028976181061012,1.683517689805639,2.374389888701585
2017-12-19,2681.47,-0.003235519788593535,0.00434939590263498,0.006140649793247193,1.4483408787116325,1.0258536304113144,1.4483408787116325,1.0258536304113144,-0.003230291135099761,1.4726138304835696,1.0216596983212631,-0.004756971402036377,-0.0033002582665758724,0.18905546179336885,0.14791703943446288,0.0001134332770760213,8.875022366067772e-05,-0.004870404679112398,-0.00338900849023655,1.7941167771109165,1.677812234061424,2.366719918092842
2017-12-20,2679.25,-0.000828246999249518,0.0042907255019319634,0.006057677864279485,1.4681451611506533,1.0399047332366504,1.4681451611506533,1.0399047332366504,-0.0008279040973793172,1.4483408787116325,1.0258536304113144,-0.0011990873478873213,-0.0008493084239289749,0.024272951771937112,0.0041939320900512556,1.4563771063162266e-05,2.516359254030753e-06,-0.0012136511189504836,-0.0008518247831830057,1.7919393452768482,1.6763830320189228,2.364760500975304
2017-12-21,2684.57,0.001983661548850703,0.004164956830323634,0.005799772094483205,1.5124785538287635,1.0861474866364444,1.5124785538287635,1.0861474866364444,0.0019856303069889503,1.4681451611506533,1.0399047332366504,0.0029151935270399134,0.0020648663546959526,0.01980428243902077,0.01405110282533606,1.1882569463412461e-05,8.430661695201635e-06,0.002903310957576501,0.002056435693000751,1.7971419024133028,1.6798304059211076,2.3694560410948107
2017-12-22,2683.34,-0.0004582789284942958,0.004067203985906687,0.0055666900488682645,1.5488300821191332,1.1316254054360042,1.5488300821191332,1.1316254054360042,-0.0004581739347455649,1.5124785538287635,1.0861474866364444,-0.0006929782502260063,-0.0004976444676662256,0.044333392678110206,0.046242753399794,2.6600035606866122e-05,2.7745652039876397e-05,-0.0007195782858328724,-0.0005253901197061021,1.795848718123766,1.6789478396230548,2.3683704180972556
